Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²)
CO2Y(180) (kg/kg),,64,236.734613709645,12.8092472020657,20.2636209969965,0.524025583333326,18.4815399355762,0,0,8.51365514158529,17.5152251226438,0.426166052131022,22.198743215303,24.9167097198345,0.0106186558133965,0.374502920695371,0.349350560228874,12.3210326666034,0,0,0.424169033468055,15.1629982920267,133.02586158727
CO2Y(240) (kg/kg),,65,236.890361148166,16.233925303543,26.7791651061293,0.413750166666664,14.5923032611506,0,0,8.75046762901419,17.5767904599495,0.442129322594393,22.3073775282381,25.0602786552109,0.0110798840258551,0.39076969830906,0.3601998301485,12.7036689761057,0,0,0.424397889987272,15.5872817537544,134.622578907911
CO2Y(300) (kg/kg),,66,236.203284389948,14.8656925798905,31.2919844417458,0.450521083333334,15.88915438151,0,0,8.98701445178325,17.5816984103551,0.561236500027235,22.3396914885834,25.1189983717399,0.0140976987303451,0.497203171698707,0.3727886215266,13.1476554111095,0,0,0.423111249419126,16.0110363234576,136.16688563308
CO2Y(360) (kg/kg),,67,234.67362756504,12.6592841956002,21.859910496913,0.525617083333336,18.5376695821872,0,0,9.22245290776074,17.5271451631794,0.458059803220085,22.2940466575795,25.0839351467708,0.0114899423973152,0.405231797887959,0.38558244209043,13.5988728959029,0,0,0.420312451415403,16.4327481738748,137.648550862101
,,68,234.489258944666,16.2522160427504,23.1180794571673,0.409095500000004,14.4281406503493,0,0,9.4570343510156,17.5572353056924,0.375752461121219,22.3537958362543,25.1695018745829,0.00945750227456967,0.33355090197396,0.396056164426372,13.9682642458338,0,0,0.419939075393351,16.8528739372792,139.074034573759
User-defined Test Averages,,69,234.812990639545,13.9038378970426,26.1800968205261,0.478852500000005,16.8883579036469,0,0,9.6916854758077,17.6171425006524,0.495721638709435,22.4477771959224,25.2892023140012,0.0125364048127511,0.442138845057173,0.407053117970033,14.3561091193494,0,0,0.420483900292316,17.2730854251221,140.459209794314
HRR(0-0) (kW/m²),0,70,233.352568022064,14.2449188356318,20.526398180606,0.464479916666663,16.3814599938867,0,0,9.92576825513851,17.5538158148656,0.377890292381242,22.3825932323034,25.2298085148373,0.00953409971639459,0.336252370614185,0.418088370234606,14.7453047271851,0,0,0.417823620575374,17.6922391855559,141.796689359122
EHC(0-0) (MJ/kg),0,71,233.180557909829,16.2233856800738,27.2262584368219,0.407535250000001,14.3731131410031,0,0,10.1590348181045,17.58533665597,0.438594566138691,22.4312494309471,25.2982159270669,0.0110956600386148,0.39132609291863,0.42840325011211,15.1090939589515,0,0,0.417472528460936,18.1098872600741,143.084997438091
MLR(0-0) (g/s),0,72,232.993662763357,13.0528529363717,19.6938860698246,0.506119416666665,17.8500182220027,0,0,10.392121928441,17.6195488572779,0.392749531566277,22.485665118171,25.3786633170749,0.00996745812955941,0.351536225208415,0.438934809196197,15.480525118015,0,0,0.417091346011931,18.5271691973105,144.335026783903
SEA(0-0) (m²/kg),0,73,233.464986923305,15.1915214778825,19.2274346265542,0.43574741666666,15.3681109073379,0,0,10.6253512532844,17.7025630570867,0.328286234190071,22.6031342137141,25.5213411196438,0.00837830496764807,0.295489347804474,0.448107690744801,15.8040379045214,0,0,0.417889664849447,18.9446597027412,145.552756894307
COY(0-0) (kg/kg),,74,232.21268258242,15.4500798753714,25.2969098189678,0.426156916666664,15.0298693893865,0,0,10.8581900880372,17.6664008732673,0.423052989876206,22.5644143725893,25.4825124691839,0.010780453089646,0.380209250534174,0.457687069773448,16.1418872036908,0,0,0.415592090494389,19.3614005804131,146.73229848699
CO2Y(0-0) (kg/kg),,75,231.423561690895,13.8466266406884,23.3845733521786,0.473890416666668,16.7133532011945,0,0,11.0900082101739,17.694574822997,0.433973707466836,22.6041570791855,25.5354760409835,0.0110817252094362,0.3908346338942,0.468618158922989,16.527409145905,0,0,0.414096479332063,19.7762448653263,147.866776135652
HRR(0-3283) (kW/m²),22.0838698711663,76,228.784679956207,15.3464222388712,25.3311988384223,0.422701833333335,14.9080141543816,0,0,11.3201123309974,17.5773894687504,0.421788155438186,22.4612256925188,25.3860713049387,0.0107075441895323,0.377637870830653,0.479512793622474,16.9116453982674,0,0,0.409295530151429,20.1879408700681,148.948846460493
EHC(0-3283) (MJ/kg),17.8597990799702,77,225.500861240952,13.6776188744959,22.0247393711391,0.467468166666663,16.4868507676752,0,0,11.547255101596,17.4334469274387,0.408565245690601,22.2932326432169,25.2000497931102,0.0102958645351375,0.363118591208911,0.490014497984808,17.2820236292872,0,0,0.403320637470986,20.5942489538793,149.96435196878
MLR(0-3283) (g/s),0.0350889415042137,78,225.266288352475,14.2244902613538,18.0006040080756,0.449028416666663,15.8365104276879,0,0,11.7726386763927,17.5238435327632,0.318935222854155,22.4133931584511,25.3430230893184,0.00808278271678976,0.285066753078569,0.499203821610772,17.6061163014309,0,0,0.402802069549254,20.9973103073894,150.931265081958
