General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,207,18.7111056,96.329106,0,0,0.981476,1.028034,85.349592,0.0445,0,0,913.813,451.469,510.696,1063.784,0,0
,,208,18.7138246,96.206806,0,0,0.978234,1.015185,84.889575,0.0437,0,0,905.631,451.424,510.671,1063.796,0,0
,,209,18.71910369,97.401793,0,0,0.975609,1.020454,84.45463,0.0432,0,0,897.986,451.228,510.479,1063.815,0,0
,,210,18.7256029,97.308894,0,0,0.974087,1.022703,84.031232,0.0439,0,0,903.713,451.103,510.35,1063.814,0,0
,,211,18.73283681,97.159109,0,0,0.980231,1.014184,83.584004,0.0441,0,0,893.253,451.011,510.185,1063.753,0,0
,,212,18.74051053,96.418277,0,0,0.978961,1.019655,83.203056,0.043,0,0,890.328,450.918,510.019,1063.802,0,0
,,213,18.7461554,96.667089,0,0,0.973456,1.014375,82.759007,0.045,0,0,892.808,450.786,509.846,1063.889,0,0
,,214,18.75071804,97.516767,0,0,0.974397,1.0157,82.316641,0.0444,0,0,895.633,450.592,509.493,1063.915,0,0
,,215,18.75664167,98.418355,0,0,0.972036,1.022238,81.936755,0.044,0,0,903.734,450.358,509.111,1063.895,0,0
,,216,18.7623105,98.561673,0,0,0.978906,1.011407,81.464024,0.042,0,0,907.589,450.129,508.805,1063.946,0,0
,,217,18.76844098,98.262618,0,0,0.974637,1.019206,81.073466,0.0461,0,0,906.373,449.89,508.554,1063.985,0,0
,,218,18.77440684,98.376182,0,0,0.971875,1.012848,80.671749,0.042,0,0,906.428,449.743,508.168,1063.974,0,0
,,219,18.78180475,98.508539,0,0,0.977931,1.008794,80.215713,0.0429,0,0,906.753,449.449,507.695,1063.977,0,0
,,220,18.79284559,99.070517,0,0,0.983896,1.020057,79.902644,0.0412,0,0,904.726,449.206,507.151,1064.051,0,0
,,221,18.8034458,99.33122,0,0,0.973917,1.011702,79.412154,0.0408,0,0,898.237,448.859,506.745,1064.072,0,0
,,222,18.81706499,98.295384,0,0,0.976492,1.008032,79.012385,0.0412,0,0,897.257,448.698,506.358,1064.159,0,0
,,223,18.83054544,98.930769,0,0,0.975582,1.014315,78.65649,0.0415,0,0,893.372,448.507,506,1064.208,0,0
,,224,18.84232079,99.822285,0,0,0.981804,1.012436,78.202791,0.0405,0,0,900.777,448.298,505.525,1064.252,0,0
,,225,18.8540484,99.309347,0,0,0.969637,1.010529,77.796894,0.0425,0,0,894.781,448.079,505.203,1064.328,0,0
,,226,18.8643482,99.478883,0,0,0.976935,1.013203,77.450381,0.0412,0,0,902.939,447.97,504.997,1064.345,0,0
,,227,18.87670208,98.566437,0,0,0.975074,1.007335,76.982371,0.0417,0,0,898.958,447.852,504.634,1064.358,0,0
,,228,18.88990461,98.909256,0,0,0.967368,1.010342,76.661224,0.0444,0,0,908.423,447.602,504.282,1064.35,0,0
,,229,18.90287843,99.051883,0,0,0.963571,1.009801,76.07756,0.043,0,0,899.087,447.457,504.039,1064.382,0,0
,,230,18.9148846,99.717535,0,0,0.971092,1.005602,75.616887,0.0442,0,0,909.12,447.266,503.587,1064.399,0,0
,,231,18.92668116,99.505438,0,0,0.974417,1.010586,75.328454,0.0429,0,0,903.553,447.006,503.085,1064.394,0,0
,,232,18.93937918,99.073793,0,0,0.975787,1.008776,74.891935,0.0437,0,0,916.471,446.873,502.739,1064.391,0,0
,,233,18.95228468,98.955623,0,0,0.969393,1.007824,74.548152,0.0427,0,0,917.577,446.591,502.309,1064.412,0,0
,,234,18.96608676,99.016188,0,0,0.969578,1.009577,74.255974,0.0414,0,0,914.42,446.372,501.912,1064.383,0,0
,,235,18.97829915,100.062527,0,0,0.972526,1.003901,73.773256,0.042,0,0,910.019,446.187,501.55,1064.351,0,0
,,236,18.98859958,99.511855,0,0,0.966505,1.004305,73.460527,0.0451,0,0,954.608,445.972,501.199,1064.32,0,0
,,237,18.99735615,99.729596,0,0,0.96775,1.004946,73.08107,0.0441,0,0,933.16,445.722,500.758,1064.299,0,0
,,238,19.00613393,99.964247,0,0,0.958239,0.999357,72.621819,0.0403,0,0,920.706,445.467,500.273,1064.232,0,0
,,239,19.01588212,100.027234,0,0,0.965091,1.006859,72.343963,0.0436,0,0,924.232,445.176,499.665,1064.225,0,0
,,240,19.02643734,100.734981,0,0,0.96547,1.001212,71.967488,0.0451,0,0,923.364,444.872,499.088,1064.182,0,0
,,241,19.03713047,101.037672,0,0,0.957385,0.996064,71.519377,0.0456,0,0,920.694,444.543,498.484,1064.079,0,0
,,242,19.04662174,100.496885,0,0,0.959812,1.00476,71.252926,0.0418,0,0,912.437,444.322,498.004,1064.073,0,0
,,243,19.05553955,101.071785,0,0,0.958246,0.993629,70.826694,0.0445,0,0,915.474,444.056,497.563,1064.091,0,0
,,244,19.06468881,100.810216,0,0,0.963545,0.997336,70.468917,0.0425,0,0,916.49,443.857,497.121,1064.106,0,0
,,245,19.07480635,100.246499,0,0,0.963938,1.004533,70.18465,0.0418,0,0,902.608,443.642,496.605,1064.094,0,0
,,246,19.08422868,100.373935,0,0,0.961725,0.993422,69.762396,0.0451,0,0,905.183,443.425,496.12,1064.019,0,0
,,247,19.09254693,101.703111,0,0,0.963212,0.999366,69.412076,0.0446,0,0,908.281,443.074,495.545,1063.986,0,0
,,248,19.10095873,101.914117,0,0,0.967127,1.000262,69.097921,0.0443,0,0,909.575,442.837,495.108,1063.98,0,0
,,249,19.11003904,102.038431,0,0,0.961082,0.992106,68.668562,0.0434,0,0,910.015,442.51,494.466,1063.949,0,0
,,250,19.11925726,101.954054,0,0,0.959672,0.997735,68.347391,0.0432,0,0,908.152,442.267,493.968,1063.947,0,0
,,251,19.12967183,102.144562,0,0,0.963413,0.999899,68.026453,0.0402,0,0,899.395,442.144,493.663,1064.002,0,0
,,252,19.1406641,102.400879,0,0,0.966678,0.988724,67.618353,0.0411,0,0,907.296,441.845,493.075,1064.001,0,0
,,253,19.15052685,102.603833,0,0,0.964491,0.99425,67.301915,0.0421,0,0,918.017,441.486,492.431,1064.013,0,0
,,254,19.15981127,102.57761,0,0,0.965243,0.996794,66.953796,0.0426,0,0,902.867,441.089,491.794,1064.09,0,0
,,255,19.1684293,102.656513,0,0,0.963476,0.986349,66.57386,0.0402,0,0,899.603,440.768,491.177,1064.137,0,0
,,256,19.17810916,102.667083,0,0,0.962105,0.99564,66.248362,0.0445,0,0,902.411,440.535,490.828,1064.127,0,0
,,257,19.18776506,102.094752,0,0,0.963283,0.99563,65.89591,0.0433,0,0,895.818,440.374,490.503,1064.077,0,0
,,258,19.19884813,102.296059,0,0,0.967023,0.988016,65.578096,0.0435,0,0,897.579,440.272,490.236,1064.013,0,0
,,259,19.20907898,101.844352,0,0,0.963638,0.998363,65.233406,0.0431,0,0,901.827,440.169,489.857,1063.955,0,0
,,260,19.21933443,102.265735,0,0,0.967155,0.989383,64.870205,0.0428,0,0,900.137,439.946,489.401,1063.954,0,0
,,261,19.22965883,101.646703,0,0,0.964294,0.993226,64.559955,0.0415,0,0,904.265,439.711,488.89,1063.941,0,0
,,262,19.24147936,101.845795,0,0,0.970477,1.000145,64.209768,0.0432,0,0,905.365,439.582,488.543,1063.868,0,0
,,263,19.25184811,102.453495,0,0,0.96798,0.993268,63.882282,0.0426,0,0,914.145,439.471,488.253,1063.819,0,0
,,264,19.26180378,102.527459,0,0,0.964852,0.992754,63.553665,0.0429,0,0,919.649,439.287,487.907,1063.808,0,0
,,265,19.27175946,102.726615,0,0,0.962288,0.999833,63.179435,0.0462,0,0,914.415,439.105,487.572,1063.803,0,0
,,266,19.28171238,103.418251,0,0,0.966384,0.993268,62.821307,0.044,0,0,912.153,438.992,487.274,1063.81,0,0
,,267,19.29106786,103.123191,0,0,0.963428,0.993656,62.483105,0.0441,0,0,916.797,438.84,487.023,1063.855,0,0
,,268,19.30118541,102.526052,0,0,0.96506,0.999138,62.141578,0.0438,0,0,917.725,438.795,486.78,1063.87,0,0
,,269,19.30971115,102.398132,0,0,0.958454,0.991707,61.788965,0.0444,0,0,910.305,438.633,486.493,1063.862,0,0
,,270,19.31602177,102.681053,0,0,0.96022,0.997857,61.486369,0.0428,0,0,909.788,438.519,486.21,1063.845,0,0
,,271,19.32252035,102.336745,0,0,0.96321,1.00153,61.088325,0.0439,0,0,919.13,438.38,485.88,1063.846,0,0
,,272,19.32885769,102.109667,0,0,0.963764,0.988636,60.769107,0.0412,0,0,906.894,438.19,485.489,1063.832,0,0
,,273,19.33422674,102.483308,0,0,0.967547,1.001366,60.456736,0.0433,0,0,903.273,438.105,485.238,1063.835,0,0
,,274,19.34148738,102.576973,0,0,0.963892,0.995522,60.077815,0.0431,0,0,915.539,438.076,485.128,1063.806,0,0
,,275,19.34923068,103.104938,0,0,0.959946,0.99244,59.769757,0.0441,0,0,912.548,438.048,484.979,1063.786,0,0
,,276,19.357271,102.779441,0,0,0.957309,1.00261,59.425192,0.0416,0,0,908.041,437.974,484.716,1063.813,0,0
,,277,19.36568218,103.331235,0,0,0.962176,0.992815,59.059883,0.0435,0,0,906.67,437.887,484.547,1063.77,0,0
,,278,19.37266405,103.310885,0,0,0.960775,0.99633,58.773262,0.0433,0,0,903.803,437.848,484.392,1063.789,0,0
,,279,19.37900139,102.502109,0,0,0.958789,1.003423,58.444244,0.0427,0,0,903.688,437.766,484.085,1063.777,0,0
,,280,19.38616911,102.835063,0,0,0.971523,0.991409,58.105132,0.0453,0,0,905.151,437.645,483.864,1063.766,0,0
,,281,19.39144524,103.310995,0,0,0.967753,1.003012,57.782149,0.0438,0,0,917.269,437.536,483.689,1063.795,0,0
,,282,19.39593619,103.084582,0,0,0.968281,0.999842,57.460925,0.0463,0,0,907.97,437.489,483.447,1063.813,0,0
,,283,19.39946097,102.991463,0,0,0.970753,0.996758,57.104934,0.0466,0,0,908.049,437.438,483.271,1063.774,0,0
,,284,19.40247975,102.927199,0,0,0.971047,1.006998,56.807602,0.0433,0,0,913.551,437.404,483.104,1063.789,0,0
,,285,19.40632891,103.677445,0,0,0.971571,0.998608,56.432463,0.0436,0,0,904.056,437.34,482.814,1063.801,0,0
,,286,19.41128425,103.859447,0,0,0.972357,1.000855,56.140336,0.0437,0,0,899.035,437.254,482.557,1063.785,0,0
,,287,19.41434802,103.723606,0,0,0.965525,1.005555,55.810013,0.0434,0,0,907.782,437.213,482.462,1063.815,0,0
,,288,19.41752867,102.956186,0,0,0.966074,1.001196,55.462333,0.043,0,0,910.446,437.231,482.414,1063.827,0,0
,,289,19.41964812,102.523206,0,0,0.976764,1.005643,55.167032,0.0459,0,0,893.524,437.211,482.266,1063.835,0,0
,,290,19.42089221,103.311513,0,0,0.973063,1.004684,54.814762,0.0442,0,0,882.619,437.163,482.183,1063.888,0,0
,,291,19.42349728,103.250765,0,0,0.971438,1.001232,54.481388,0.0419,0,0,897.433,437.168,482.074,1063.963,0,0
,,292,19.42734644,103.705671,0,0,0.973844,1.006423,54.209101,0.0448,0,0,903.678,437.088,481.911,1063.938,0,0
,,293,19.43110267,104.394733,0,0,0.973121,1.006193,53.835901,0.0455,0,0,899.967,437.014,481.785,1063.933,0,0
,,294,19.43478721,103.732061,0,0,0.969638,1.004476,53.500636,0.0427,0,0,909.888,437.027,481.713,1063.96,0,0
,,295,19.43697498,103.384823,0,0,0.974927,1.01161,53.206627,0.043,0,0,907.739,437.029,481.648,1063.959,0,0
,,296,19.44001773,103.156786,0,0,0.976289,1.005877,52.81169,0.0436,0,0,901.449,437.139,481.667,1063.986,0,0
,,297,19.44393584,103.103937,0,0,0.978557,1.00597,52.500904,0.0454,0,0,892.429,437.195,481.65,1064.058,0,0
,,298,19.44829163,102.654242,0,0,0.976666,1.015407,52.214266,0.044,0,0,891.002,437.265,481.706,1064.073,0,0
,,299,19.45061794,102.949504,0,0,0.984758,1.006204,51.807349,0.0429,0,0,905.226,437.39,481.828,1064.06,0,0
,,300,19.45396046,102.62572,0,0,0.977209,1.009024,51.545971,0.0429,0,0,905.273,437.465,481.91,1064.068,0,0
,,301,19.45644864,103.21804,0,0,0.980687,1.017487,51.208682,0.0405,0,0,907.405,437.535,481.87,1064.053,0,0
,,302,19.45806146,102.910794,0,0,0.980983,1.006515,50.86697,0.0413,0,0,895.543,437.556,481.867,1064.058,0,0
,,303,19.46013593,102.823696,0,0,0.982837,1.017144,50.576917,0.0442,0,0,896.872,437.627,481.893,1064.062,0,0
,,304,19.4623483,102.491713,0,0,0.985355,1.012814,50.176623,0.0456,0,0,897.705,437.668,481.907,1064.063,0,0
,,305,19.46396112,102.075616,0,0,0.982989,1.01223,49.831603,0.0437,0,0,905.832,437.738,481.985,1064.063,0,0
,,306,19.46483648,102.343401,0,0,0.982337,1.022189,49.535283,0.0428,0,0,903.612,437.832,482.096,1064.037,0,0
,,307,19.46587372,102.591024,0,0,0.974533,1.010885,49.137874,0.0428,0,0,900.922,437.948,482.173,1064.027,0,0
,,308,19.46548102,103.040167,0,0,0.983448,1.018599,48.835725,0.0408,0,0,882.128,438.014,482.131,1063.974,0,0
,,309,19.46624244,102.986782,0,0,0.991957,1.019962,48.518125,0.0439,0,0,893.589,438.113,482.251,1063.902,0,0
,,310,19.46674908,102.006802,0,0,0.989481,1.013162,48.134057,0.0438,0,0,904.196,438.301,482.5,1063.899,0,0
,,311,19.46531915,101.692547,0,0,0.985475,1.022033,47.874897,0.0441,0,0,903.584,438.451,482.717,1063.938,0,0
,,312,19.46497439,102.175706,0,0,0.990968,1.016977,47.536515,0.0445,0,0,891.593,438.575,482.841,1063.921,0,0
,,313,19.46467461,102.761966,0,0,0.987264,1.02158,47.12389,0.0428,0,0,906.259,438.684,482.88,1063.926,0,0
,,314,19.46430588,102.739436,0,0,0.990677,1.027995,46.877998,0.0434,0,0,888.26,438.724,482.948,1063.954,0,0
,,315,19.46483648,101.468855,0,0,0.993069,1.020338,46.501181,0.0438,0,0,892.736,438.869,483.146,1064.008,0,0
,,316,19.46467461,101.797477,0,0,0.993329,1.023955,46.162697,0.0442,0,0,902.483,439.024,483.367,1064.045,0,0
,,317,19.46520521,102.040967,0,0,0.990741,1.023447,45.858238,0.0432,0,0,895.269,439.209,483.576,1064.062,0,0
,,318,19.46504334,101.726864,0,0,0.997436,1.02055,45.47439,0.0437,0,0,890.87,439.402,483.725,1064.066,0,0
,,319,19.46287595,101.184092,0,0,0.989411,1.027199,45.139731,0.043,0,0,883.502,439.595,483.887,1064.043,0,0
,,320,19.46239329,102.474552,0,0,0.990858,1.022543,44.825571,0.0454,0,0,874.412,439.721,484.053,1064.044,0,0
,,321,19.46239329,101.489252,0,0,0.995173,1.021541,44.403744,0.0439,0,0,893.653,439.866,484.265,1064.052,0,0
,,322,19.46149396,101.467123,0,0,0.990581,1.025705,44.129621,0.0422,0,0,898.041,440.08,484.539,1063.943,0,0
,,323,19.46158688,101.060802,0,0,0.99056,1.024158,43.735989,0.0427,0,0,898.417,440.269,484.817,1063.782,0,0
,,324,19.46045672,101.055931,0,0,0.991004,1.024941,43.344019,0.0437,0,0,906.683,440.497,485.143,1063.742,0,0
,,325,19.45838226,100.684632,0,0,0.990221,1.026606,43.050481,0.0428,0,0,898.39,440.699,485.305,1063.764,0,0
,,326,19.45796854,101.867563,0,0,0.992048,1.024435,42.631372,0.0424,0,0,900.703,440.863,485.553,1063.838,0,0
,,327,19.45886787,100.499742,0,0,0.989207,1.026346,42.28828,0.0414,0,0,905.68,441.131,485.974,1063.887,0,0
,,328,19.45787562,100.293906,0,0,0.993486,1.02985,41.980409,0.0415,0,0,908.085,441.482,486.346,1063.92,0,0
,,329,19.45759982,100.666799,0,0,0.987029,1.02308,41.527788,0.0433,0,0,892.351,441.804,486.904,1063.935,0,0
,,330,19.45700026,100.546066,0,0,0.986636,1.030166,41.268011,0.0444,0,0,888.24,442.035,487.249,1063.956,0,0
,,331,19.45656258,100.813469,0,0,0.986831,1.030385,40.858492,0.0426,0,0,885.847,442.331,487.543,1063.965,0,0
,,332,19.45649363,100.394031,0,0,0.992804,1.023878,40.444317,0.0421,0,0,891.432,442.695,488.029,1063.94,0,0
,,333,19.45589408,100.141966,0,0,0.985114,1.032404,40.177231,0.0418,0,0,882.797,443.031,488.531,1063.936,0,0
,,334,19.45425729,99.403911,0,0,0.989098,1.024986,39.768608,0.0434,0,0,896.761,443.392,489.016,1063.93,0,0
,,335,19.45211387,99.468805,0,0,0.980863,1.023206,39.375843,0.0437,0,0,897.651,443.764,489.495,1063.844,0,0
,,336,19.44960172,100.052394,0,0,0.982748,1.033011,39.01547,0.0422,0,0,885.132,444.123,489.976,1063.805,0,0
,,337,19.44642107,99.926986,0,0,0.986879,1.024413,38.609565,0.0422,0,0,896.195,444.577,490.676,1063.769,0,0
,,338,19.44340229,98.646312,0,0,0.979878,1.023501,38.203027,0.0438,0,0,882.852,445.07,491.39,1063.736,0,0
,,339,19.43625559,99.224318,0,0,0.984919,1.027249,37.859033,0.0429,0,0,892.293,445.444,491.986,1063.768,0,0
,,340,19.42784654,98.948138,0,0,0.983652,1.021259,37.514491,0.0436,0,0,896.631,445.878,492.704,1063.821,0,0
,,341,19.42116507,98.107494,0,0,0.979438,1.022861,37.072235,0.0428,0,0,891.059,446.582,493.661,1063.846,0,0
,,342,19.41010026,98.337781,0,0,0.978267,1.029904,36.69093,0.042,0,0,886.057,447.188,494.472,1063.918,0,0
,,343,19.39613631,98.052249,0,0,0.979873,1.018274,36.314281,0.0422,0,0,890.485,447.761,495.25,1063.98,0,0
,,344,19.38025765,97.199521,0,0,0.972645,1.02,35.874712,0.0432,0,0,891.08,448.452,496.237,1064.007,0,0
,,345,19.3664318,96.890602,0,0,0.976002,1.029888,35.441887,0.0447,0,0,883.101,448.971,497.107,1064.067,0,0
,,346,19.35525876,96.075545,0,0,0.968202,1.01928,35.051623,0.0433,0,0,897.782,449.637,498.135,1064.104,0,0
,,347,19.34336716,96.81446,0,0,0.973168,1.022013,34.560861,0.0431,0,0,898.992,450.25,499.202,1064.135,0,0
,,348,19.33149889,95.998688,0,0,0.973965,1.028273,34.163322,0.0426,0,0,903.936,450.998,500.461,1064.268,0,0
,,349,19.3193998,95.279788,0,0,0.97537,1.018136,33.804313,0.0442,0,0,902.508,451.816,501.667,1064.243,0,0
,,350,19.30783406,95.453168,0,0,0.964113,1.018924,33.262129,0.0461,0,0,909.573,452.619,502.819,1064.205,0,0
,,351,19.2964041,94.911977,0,0,0.956471,1.020153,32.90389,0.0439,0,0,909.077,453.427,504.217,1064.128,0,0
,,352,19.28227553,94.260058,0,0,0.962125,1.020257,32.500764,0.0452,0,0,920.488,454.301,505.582,1064.127,0,0
,,353,19.26782891,94.132394,0,0,0.957314,1.016424,31.954373,0.0442,0,0,910.664,455.078,506.906,1064.08,0,0
,,354,19.2525498,94.098968,0,0,0.947974,1.023662,31.60988,0.0423,0,0,917.946,455.876,508.064,1064.032,0,0
,,355,19.23496752,93.420395,0,0,0.94949,1.014928,31.157685,0.0426,0,0,917.045,456.519,509.02,1064.026,0,0
,,356,19.21779978,94.504745,0,0,0.943015,1.013843,30.605904,0.0444,0,0,905.673,457.152,510.074,1064.044,0,0
,,357,19.20024146,93.523932,0,0,0.947864,1.022951,30.263781,0.0428,0,0,900.037,457.874,511.188,1064.084,0,0
,,358,19.18134402,93.731877,0,0,0.947347,1.012794,29.757837,0.046,0,0,908.092,458.535,512.199,1064.118,0,0
,,359,19.16127355,92.958127,0,0,0.942314,1.017435,29.308951,0.0416,0,0,911.882,459.165,513.093,1064.18,0,0
,,360,19.13799635,93.610775,0,0,0.951902,1.023659,28.928957,0.0446,0,0,920.622,459.683,513.864,1064.186,0,0
,,361,19.11253286,93.176428,0,0,0.940453,1.016352,28.419079,0.0437,0,0,920.188,460.099,514.528,1064.162,0,0
,,362,19.0879216,93.859491,0,0,0.932171,1.015109,27.977913,0.0437,0,0,913.73,460.436,515.189,1064.198,0,0
,,363,19.06418781,94.151929,0,0,0.923948,1.020677,27.529509,0.0412,0,0,911.263,460.787,515.845,1064.242,0,0
,,364,19.04209145,93.410457,0,0,0.929121,1.015607,27.082367,0.0421,0,0,894.515,461.214,516.459,1064.284,0,0
,,365,19.01913799,94.345465,0,0,0.925131,1.015508,26.658444,0.0442,0,0,896.191,461.455,516.908,1064.327,0,0
,,366,18.99471174,94.479114,0,0,0.923713,1.023714,26.205057,0.0415,0,0,891.682,461.593,517.277,1064.383,0,0
,,367,18.96911097,93.980362,0,0,0.924594,1.015154,25.817288,0.0415,0,0,892.545,461.907,517.803,1064.366,0,0
,,368,18.94599859,94.112003,0,0,0.917962,1.021338,25.348526,0.0419,0,0,900.577,462.045,517.939,1064.367,0,0
,,369,18.92380868,94.465936,0,0,0.929276,1.026242,24.929481,0.0453,0,0,885.008,462.059,517.933,1064.385,0,0
,,370,18.90168559,94.66739,0,0,0.930249,1.013383,24.535318,0.0436,0,0,880.217,462.072,518.154,1064.359,0,0
,,371,18.88286217,94.15681,0,0,0.924589,1.024255,24.095634,0.0437,0,0,883.729,462.201,518.269,1064.385,0,0
,,372,18.86539465,94.817924,0,0,0.922431,1.020704,23.686809,0.0424,0,0,892.495,462.225,518.251,1064.409,0,0
,,373,18.85016559,95.057455,0,0,0.926874,1.02005,23.289331,0.043,0,0,881.513,462.156,518.059,1064.367,0,0
,,374,18.83781529,95.901045,0,0,0.933945,1.029507,22.857013,0.043,0,0,880.529,461.899,517.72,1064.355,0,0
,,375,18.82781464,95.576774,0,0,0.92403,1.015393,22.497512,0.0431,0,0,898.1,461.689,517.368,1064.32,0,0
,,376,18.81672881,96.437526,0,0,0.934485,1.024966,22.107461,0.0422,0,0,891.723,461.35,516.768,1064.317,0,0
,,377,18.80859852,97.086902,0,0,0.920263,1.028253,21.728724,0.0465,0,0,902.005,460.83,515.937,1064.355,0,0
,,378,18.80062502,97.917158,0,0,0.922113,1.01928,21.452215,0.0446,0,0,891.017,460.24,514.964,1064.41,0,0
,,379,18.79491121,98.171496,0,0,0.922442,1.02871,21.036175,0.0413,0,0,894.44,459.586,513.919,1064.428,0,0
,,380,18.79184744,99.105694,0,0,0.92835,1.026168,20.737794,0.0453,0,0,894.144,458.77,512.539,1064.399,0,0
,,381,18.79196433,99.59937,0,0,0.920037,1.022042,20.443704,0.0425,0,0,894.52,457.865,511.142,1064.379,0,0
,,382,18.79300156,100.419648,0,0,0.933665,1.02994,20.081506,0.0429,0,0,890.204,456.843,509.607,1064.383,0,0
,,383,18.79497875,100.832221,0,0,0.946032,1.03058,19.854425,0.0417,0,0,886.825,455.853,508.076,1064.403,0,0
,,384,18.798706,101.774299,0,0,0.947789,1.030472,19.533116,0.0423,0,0,891.625,454.822,506.539,1064.373,0,0
,,385,18.80637166,102.693374,0,0,0.956572,1.031652,19.242848,0.0441,0,0,874.48,453.742,504.792,1064.35,0,0
,,386,18.81904653,104.167729,0,0,0.969394,1.024467,19.018588,0.0434,0,0,887.63,452.551,502.909,1064.323,0,0
,,387,18.83448752,104.945146,0,0,0.971827,1.025913,18.698237,0.0439,0,0,890.398,451.272,501.025,1064.294,0,0
,,388,18.85303808,104.989832,0,0,0.976831,1.031152,18.471841,0.0463,0,0,881.435,449.99,499.038,1064.28,0,0
,,389,18.87460955,105.864174,0,0,0.975172,1.024744,18.233613,0.045,0,0,888.471,448.594,496.912,1064.285,0,0
,,390,18.90032783,106.988786,0,0,0.977174,1.030928,17.978108,0.0436,0,0,888.174,447.203,494.79,1064.262,0,0
,,391,18.92957089,107.805968,0,0,0.984274,1.030488,17.804237,0.0425,0,0,900.937,445.775,492.609,1064.224,0,0
,,392,18.96423094,108.350124,0,0,0.990805,1.020945,17.547774,0.0417,0,0,897.418,444.356,490.418,1064.193,0,0
,,393,19.00089356,109.252994,0,0,0.995151,1.030375,17.314881,0.043,0,0,896.393,442.883,488.171,1064.192,0,0
,,394,19.03926192,109.781071,0,0,0.993517,1.026254,17.185032,0.0422,0,0,898.43,441.436,485.981,1064.226,0,0
,,395,19.08067302,109.885265,0,0,0.999229,1.022667,16.941525,0.0433,0,0,885.408,439.952,483.723,1064.213,0,0
,,396,19.12420358,110.897023,0,0,1.005355,1.030096,16.771846,0.0424,0,0,896.554,438.474,481.486,1064.161,0,0
,,397,19.16897823,111.150104,0,0,1.004629,1.020181,16.644994,0.0407,0,0,882.173,437.024,479.246,1064.168,0,0
,,398,19.2181566,111.819493,0,0,1.007448,1.021769,16.437171,0.0437,0,0,889.224,435.55,476.999,1064.061,0,0
,,399,19.2659021,113.087109,0,0,1.010887,1.029071,16.354179,0.0406,0,0,892.424,434.103,474.741,1064.036,0,0
,,400,19.31429233,113.223745,0,0,1.014647,1.016313,16.235237,0.0409,0,0,892.387,432.664,472.518,1064.028,0,0
,,401,19.3551663,113.684071,0,0,1.020009,1.024549,16.037296,0.0411,0,0,896.772,431.215,470.302,1063.914,0,0
,,402,19.39964412,114.980794,0,0,1.015874,1.020878,15.973201,0.0433,0,0,895.593,429.765,468.065,1063.901,0,0
,,403,19.44955995,115.745325,0,0,1.019106,1.016945,15.827068,0.0408,0,0,892.942,428.347,465.838,1063.902,0,0
,,404,19.49954178,116.376507,0,0,1.017945,1.024043,15.699463,0.0416,0,0,894.488,426.887,463.637,1063.91,0,0
,,405,19.5481149,117.491018,0,0,1.021381,1.018364,15.663624,0.0402,0,0,898.083,425.447,461.408,1063.858,0,0
